R-SPL,L-ACC/MPFC,R-LTL,L-PCL/MC,Type
0.017355469669734336,0.03651286729604425,0.012028121697936267,0.052605416585336184,SSC gaze shifts
0.015305843561017607,0.009458618541480224,0.010280265805547917,0.021672028442505653,SSC gaze shifts
0.0004934732678473774,0.027905817630177576,0.03158398403894658,0.018300771198915933,SSC gaze shifts
0.027398818144034776,0.02160215489581896,0.019806261378368828,0.031985507677376346,SSC gaze shifts
0.008204153465781738,0.02050292811210247,0.0211544218007787,0.027130378769872843,SSC gaze shifts
0.0006633025303287021,0.001541152184978245,0.012020450185253273,0.013904438692643128,SSC gaze shifts
0.021695371021060395,0.0245532430707453,0.025427186219917353,0.029721492811655426,SSC gaze shifts
0.03998432101658439,0.031577316308120607,0.05850694252270422,0.03409237697358947,SSC gaze shifts
0.04727728960021216,0.011264054757458508,0.011083312470761109,0.015008947242888482,SSC gaze shifts
0.05244604027505079,0.09105388003527032,0.08265117754060203,0.07883422297510395,SSC gaze shifts
0.03629585581298406,0.008079644569158384,0.023629034925416736,0.008130484567083263,SSC gaze shifts
0.061507739207841694,0.0966837059382285,0.0919526215995492,0.1043788405282926,SSC gaze shifts
0.061846357733540414,0.034602073717549975,0.056198469134100426,0.036100815216823956,LSC gaze shifts
0.03307877140866777,0.03496551951938498,0.025181448335469536,0.025241569979491674,LSC gaze shifts
0.011209357980216494,0.006687730625033916,0.030108272293555283,0.015735925133552486,LSC gaze shifts
0.006603345550036832,0.006124629903001999,0.01693172488017436,0.011708064377000005,LSC gaze shifts
0.046068099558727926,0.04466536952083944,0.04134536795388455,0.05123498373492763,LSC gaze shifts
0.06220423032428701,0.05017786072793207,0.046534241924557684,0.06586415152112213,LSC gaze shifts
0.028827338230701494,0.029892897402608698,0.029839095915162872,0.024741239806479687,LSC gaze shifts
0.10290293436619652,0.10487890784596926,0.10830431146320046,0.10190445995584324,LSC gaze shifts
0.06620237580685867,0.0577086676493071,0.1052474491746273,0.039647294889267604,LSC gaze shifts
0.09752003639298223,0.10774731410846294,0.0783880498906393,0.08871626397575871,LSC gaze shifts
0.061032790452936525,0.04217147930467324,0.08202600961023199,0.048219604073657774,LSC gaze shifts
0.02330447225229637,0.0367623255783015,0.00704888016442784,0.09476850987857283,LSC gaze shifts
